date,code,price,coupon,yield_measure_used,yield_pct,current_yield_pct,flags
1842-06-18,S-2080,84.0,6.0,ytm,7.513336681643567,7.142857142857142,panic_window_spike
1842-07-02,S-2080,79.0,6.0,ytm,8.044666517504423,7.59493670886076,
1842-07-16,S-2080,68.5,6.0,ytm,9.262808076352966,8.75912408759124,
1842-07-23,S-2080,74.0,6.0,ytm,8.609864742718893,8.108108108108109,
1842-07-30,S-2080,74.5,6.0,ytm,8.554183723271484,8.053691275167784,
1842-08-06,S-2080,73.0,6.0,ytm,8.729851304056064,8.21917808219178,
1842-08-13,S-2080,72.0,6.0,ytm,8.849478117560887,8.333333333333332,
1842-08-20,S-2080,70.0,6.0,ytm,9.091170442637091,8.571428571428571,
1842-08-27,S-2080,71.5,6.0,ytm,8.913041677710044,8.391608391608392,
1842-09-03,S-2080,72.75,6.0,ytm,8.767134219414501,8.24742268041237,
1842-09-10,S-2080,73.0,6.0,ytm,8.73978016029902,8.21917808219178,
1842-09-17,S-2080,72.5,6.0,ytm,8.800647182347069,8.275862068965518,
1842-09-24,S-2080,72.5,6.0,ytm,8.80269361197651,8.275862068965518,
1842-10-01,S-2080,72.5,6.0,ytm,8.80474458850562,8.275862068965518,
1842-10-08,S-2080,71.125,6.0,ytm,8.97082058741812,8.43585237258348,
1842-10-15,S-2080,71.0,6.0,ytm,8.988053878931462,8.450704225352112,
1842-10-22,S-2080,70.5,6.0,ytm,9.050726600295125,8.51063829787234,
1842-11-05,S-2080,67.5,6.0,ytm,9.426209202947916,8.88888888888889,
1842-11-12,S-2080,70.0,6.0,ytm,9.118445908480023,8.571428571428571,
1842-11-19,S-2080,70.5,6.0,ytm,9.059740179330298,8.51063829787234,
1842-11-26,S-2080,70.75,6.0,ytm,9.031611819470218,8.480565371024735,
1842-12-03,S-2080,71.25,6.0,ytm,8.973292956052264,8.421052631578947,
1842-12-10,S-2080,72.625,6.0,ytm,8.81062790041756,8.261617900172118,
1842-12-17,S-2080,68.5,6.0,ytm,9.315786312007509,8.75912408759124,
1842-12-24,S-2080,69.5,6.0,ytm,9.193960038205264,8.633093525179856,
1842-12-31,S-2080,67.0,6.0,ytm,9.5101102143539,8.955223880597014,
1843-01-07,S-2080,67.0,6.0,ytm,9.512733359655025,8.955223880597014,
1843-01-14,S-2080,66.75,6.0,ytm,9.547304301367715,8.98876404494382,
1843-01-21,S-2080,63.0,6.0,ytm,10.04121700186458,9.523809523809524,
1843-01-28,S-2080,65.25,6.0,ytm,9.746599737366452,9.195402298850574,
1843-02-04,S-2080,66.0,6.0,ytm,9.651919418564948,9.090909090909092,policy_signal_window
1843-02-11,S-2080,65.75,6.0,ytm,9.68709468223087,9.125475285171104,policy_signal_window
1843-02-18,S-2080,66.0,6.0,ytm,9.65742535146266,9.090909090909092,policy_signal_window
1843-03-11,S-2080,70.25,6.0,ytm,9.127444790426036,8.540925266903916,policy_signal_window
1843-03-18,S-2080,70.5,6.0,ytm,9.098966076028294,8.51063829787234,policy_signal_window
1843-03-25,S-2080,70.0,6.0,ytm,9.163161836722937,8.571428571428571,policy_signal_window
1843-04-01,S-2080,68.75,6.0,ytm,9.321893555591872,8.727272727272728,policy_signal_window
1843-04-08,S-2080,68.75,6.0,ytm,9.324425538103547,8.727272727272728,policy_signal_window
1843-04-15,S-2080,67.25,6.0,ytm,9.51792803810741,8.921933085501859,policy_signal_window
1843-04-22,S-2080,69.5,6.0,ytm,9.23522001991078,8.633093525179856,policy_signal_window
1843-04-29,S-2080,78.5,6.0,ytm,8.167236686170117,7.643312101910828,policy_signal_window
1843-05-06,S-2080,80.0,6.0,ytm,8.000767039228577,7.5,
1843-05-13,S-2080,88.25,6.0,ytm,7.124800124825693,6.79886685552408,
1843-05-20,S-2080,86.5,6.0,ytm,7.305453356948205,6.9364161849710975,
1843-06-03,S-2080,89.25,6.0,ytm,7.026002575695971,6.722689075630252,
1843-06-10,S-2080,92.375,6.0,ytm,6.716477551587313,6.495263870094722,
1843-06-17,S-2080,89.5,6.0,ytm,7.00236864376803,6.70391061452514,
1843-06-24,S-2080,87.5,6.0,ytm,7.206959403479701,6.857142857142858,
1843-07-01,S-2080,91.0,6.0,ytm,6.853748823118639,6.593406593406594,
1843-07-08,S-2080,90.0,6.0,ytm,6.954344006503553,6.666666666666667,
1843-07-15,S-2080,89.5,6.0,ytm,7.005487635271439,6.70391061452514,
1843-07-22,S-2080,89.0,6.0,ytm,7.056978498629905,6.741573033707865,
1843-07-29,S-2080,89.5,6.0,ytm,7.0070580474934046,6.70391061452514,
1843-08-05,S-2080,90.5,6.0,ytm,6.907074001032701,6.629834254143646,
1843-08-12,S-2080,89.5,6.0,ytm,7.008635805445776,6.70391061452514,
1843-08-19,S-2080,91.0,6.0,ytm,6.858428583812979,6.593406593406594,
1843-08-26,S-2080,91.625,6.0,ytm,6.796835984758618,6.548431105047749,
1843-09-02,S-2080,92.0,6.0,ytm,6.7602682313495395,6.521739130434782,
1843-09-09,S-2080,92.125,6.0,ytm,6.748491882998818,6.512890094979647,
1843-09-16,S-2080,94.25,6.0,ytm,6.540966152796098,6.36604774535809,
1843-09-23,S-2080,96.0,6.0,ytm,6.373259263328481,6.25,
1843-09-30,S-2080,95.375,6.0,ytm,6.433304657315117,6.290956749672345,
1843-10-28,S-2080,94.625,6.0,ytm,6.507121007730933,6.340819022457067,
1843-11-04,S-2080,96.125,6.0,ytm,6.363092395681408,6.241872561768531,
1843-11-11,S-2080,98.25,6.0,ytm,6.162349309640012,6.106870229007633,
1843-11-18,S-2080,100.5,6.0,ytm,5.9540982801149305,5.970149253731343,
1843-12-02,S-2080,100.0,6.0,ytm,6.0,6.0,
1843-12-09,S-2080,102.75,6.0,ytm,5.74973986667471,5.839416058394161,
1843-12-16,S-2080,103.75,6.0,ytm,5.660137356309805,5.783132530120482,
1843-12-30,S-2080,102.0,6.0,ytm,5.816874024042843,5.88235294117647,
1844-01-06,S-2080,99.5,6.0,ytm,6.046392741573063,6.030150753768844,
1844-01-13,S-2080,99.5,6.0,ytm,6.046430376352403,6.030150753768844,
1844-01-20,S-2080,94.75,6.0,ytm,6.499815434115488,6.33245382585752,
1844-01-27,S-2080,96.0,6.0,ytm,6.378691043278777,6.25,
1844-02-03,S-2080,97.75,6.0,ytm,6.2113007263568525,6.138107416879795,
1844-02-10,S-2080,97.0,6.0,ytm,6.283037778951678,6.185567010309279,
1844-02-17,S-2080,98.875,6.0,ytm,6.105224456135714,6.06826801517067,
1844-02-24,S-2080,99.75,6.0,ytm,6.0232998502013535,6.015037593984962,
1844-03-02,S-2080,99.0,6.0,ytm,6.093627396884126,6.0606060606060606,
1844-03-09,S-2080,98.75,6.0,ytm,6.117277740030314,6.075949367088607,
1844-03-16,S-2080,98.0,6.0,ytm,6.188510166669293,6.122448979591836,
1844-03-23,S-2080,96.0,6.0,ytm,6.3811814208501865,6.25,
1844-03-30,S-2080,94.5,6.0,ytm,6.528602601068926,6.349206349206349,
1844-04-13,S-2080,95.0,6.0,ytm,6.480109335012663,6.315789473684211,
1844-04-20,S-2080,93.75,6.0,ytm,6.604509603159422,6.4,
1844-04-27,S-2080,94.25,6.0,ytm,6.55517824192523,6.36604774535809,
1844-05-04,S-2080,98.75,6.0,ytm,6.118056471830057,6.075949367088607,
1844-05-11,S-2080,98.875,6.0,ytm,6.106272559974643,6.06826801517067,
1844-05-18,S-2080,99.25,6.0,ytm,6.0707740778708805,6.045340050377834,
1844-05-25,S-2080,101.75,6.0,ytm,5.836770424081444,5.896805896805897,
1844-06-01,S-2080,101.75,6.0,ytm,5.836633689231871,5.896805896805897,
1844-06-08,S-2080,101.0,6.0,ytm,5.906220874519224,5.9405940594059405,
1844-06-15,S-2080,100.25,6.0,ytm,5.976447633483859,5.985037406483791,
1844-06-22,S-2080,97.25,6.0,ytm,6.263237752208722,6.169665809768637,
1844-06-29,S-2080,96.25,6.0,ytm,6.3610938680772975,6.233766233766234,
1844-07-06,S-2080,98.0,6.0,ytm,6.191042473524354,6.122448979591836,
1844-07-13,S-2080,98.0,6.0,ytm,6.191204076159828,6.122448979591836,
1844-07-27,S-2080,98.0,6.0,ytm,6.191528485708756,6.122448979591836,
1844-08-03,S-2080,98.0,6.0,ytm,6.191691295617392,6.122448979591836,
1844-08-10,S-2080,98.0,6.0,ytm,6.1918545109580325,6.122448979591836,
1844-08-17,S-2080,98.0,6.0,ytm,6.192018133246984,6.122448979591836,
1844-08-24,S-2080,98.0,6.0,ytm,6.192182164008127,6.122448979591836,
1844-08-31,S-2080,97.375,6.0,ytm,6.253254332693463,6.161745827984596,
1844-09-07,S-2080,98.25,6.0,ytm,6.168235106881314,6.106870229007633,
1844-09-14,S-2080,98.75,6.0,ytm,6.119968525316519,6.075949367088607,
1844-09-21,S-2080,99.375,6.0,ytm,6.0598476421613245,6.037735849056604,
1844-09-28,S-2080,99.375,6.0,ytm,6.059899189272955,6.037735849056604,
1844-10-05,S-2080,100.0,6.0,ytm,6.0,6.0,
1844-10-12,S-2080,100.875,6.0,ytm,5.916623541568509,5.947955390334572,
1844-10-19,S-2080,104.0,6.0,ytm,5.624364299033735,5.769230769230769,
1844-10-26,S-2080,102.5,6.0,ytm,5.763283572120362,5.853658536585367,
1844-11-02,S-2080,102.75,6.0,ytm,5.739707141645281,5.839416058394161,
1844-11-09,S-2080,101.0,6.0,ytm,5.904440912414963,5.9405940594059405,
1844-11-16,S-2080,100.0,6.0,ytm,6.0,6.0,
1844-11-23,S-2080,100.0,6.0,ytm,6.0,6.0,
1844-11-30,S-2080,99.75,6.0,ytm,6.024102269397546,6.015037593984962,
1844-12-07,S-2080,101.0,6.0,ytm,5.904106579586169,5.9405940594059405,
1844-12-14,S-2080,100.5,6.0,ytm,5.951891559311329,5.970149253731343,
1844-12-21,S-2080,98.0,6.0,ytm,6.195034697494162,6.122448979591836,
1844-12-28,S-2080,97.5,6.0,ytm,6.2446256794388075,6.153846153846154,
1845-01-01,S-2080,96.5,6.0,ytm,6.344392141780167,6.217616580310881,
1845-01-04,S-2080,96.75,6.0,ytm,6.3195070581887185,6.2015503875969,
1845-01-11,S-2080,97.5,6.0,ytm,6.245057550026391,6.153846153846154,
1845-01-18,S-2080,97.25,6.0,ytm,6.270143701309597,6.169665809768637,
1845-02-01,S-2080,97.25,6.0,ytm,6.270623031061155,6.169665809768637,
1845-02-08,S-2080,97.75,6.0,ytm,6.221055346917528,6.138107416879795,
1845-02-15,S-2080,98.75,6.0,ytm,6.1222994349693876,6.075949367088607,
1845-02-22,S-2080,99.0,6.0,ytm,6.097803799684008,6.0606060606060606,
1845-03-01,S-2080,98.25,6.0,ytm,6.171957665185803,6.106870229007633,
1845-03-08,S-2080,98.0,6.0,ytm,6.196947300051512,6.122448979591836,
1845-03-22,S-2080,98.375,6.0,ytm,6.160003950213304,6.099110546378653,
1845-03-29,S-2080,97.75,6.0,ytm,6.222444065013539,6.138107416879795,
1845-04-05,S-2080,98.0,6.0,ytm,6.197656355531541,6.122448979591836,
1845-04-12,S-2080,97.75,6.0,ytm,6.222845490473424,6.138107416879795,
1845-04-19,S-2080,96.0,6.0,ytm,6.400068407251169,6.25,
1845-04-26,S-2080,98.625,6.0,ytm,6.135828938627688,6.083650190114068,
1845-05-03,S-2080,96.75,6.0,ytm,6.324403844018701,6.2015503875969,
1845-05-10,S-2080,97.0,6.0,ytm,6.299341496536664,6.185567010309279,
1845-05-17,S-2080,99.0,6.0,ytm,6.098867606471143,6.0606060606060606,
1845-05-24,S-2080,98.5,6.0,ytm,6.1488105495999745,6.091370558375635,
1845-05-31,S-2080,98.25,6.0,ytm,6.173990036694955,6.106870229007633,
1845-06-07,S-2080,99.0,6.0,ytm,6.099138806228096,6.0606060606060606,
1845-06-14,S-2080,99.375,6.0,ytm,6.0619019022325835,6.037735849056604,
1845-06-21,S-2080,95.75,6.0,ytm,6.429121661768199,6.266318537859007,
1845-06-28,S-2080,96.0,6.0,ytm,6.403735078937236,6.25,
1845-07-05,S-2080,96.25,6.0,ytm,6.378367775730716,6.233766233766234,
1845-07-12,S-2080,96.25,6.0,ytm,6.378717005140366,6.233766233766234,
1845-07-19,S-2080,96.625,6.0,ytm,6.34050978899349,6.2095730918499354,
1845-07-26,S-2080,95.75,6.0,ytm,6.431105704102931,6.266318537859007,
1845-08-02,S-2080,96.0,6.0,ytm,6.405604977033548,6.25,
1845-08-09,S-2080,97.0,6.0,ytm,6.30294084141545,6.185567010309279,
1845-08-16,S-2080,95.5,6.0,ytm,6.458324099513867,6.282722513089005,
1845-08-23,S-2080,94.75,6.0,ytm,6.537271277205124,6.33245382585752,
1845-08-30,S-2080,95.0,6.0,ytm,6.5115083503473805,6.315789473684211,
1845-09-06,S-2080,95.5,6.0,ytm,6.459609864396336,6.282722513089005,
1845-09-13,S-2080,97.75,6.0,ytm,6.227403202745418,6.138107416879795,
1845-09-20,S-2080,97.5,6.0,ytm,6.2532276539566665,6.153846153846154,
1845-09-27,S-2080,97.625,6.0,ytm,6.240640287227295,6.1459667093469905,
1845-10-04,S-2080,97.5,6.0,ytm,6.253704758150468,6.153846153846154,
1845-10-11,S-2080,97.75,6.0,ytm,6.228260909242453,6.138107416879795,
1845-10-18,S-2080,97.625,6.0,ytm,6.24132247969698,6.1459667093469905,
1845-10-25,S-2080,97.75,6.0,ytm,6.2286932390083285,6.138107416879795,
1845-11-01,S-2080,97.5,6.0,ytm,6.254666712334799,6.153846153846154,
1845-11-08,S-2080,97.0,6.0,ytm,6.306666967940827,6.185567010309279,
1845-11-15,S-2080,97.5,6.0,ytm,6.255151604356785,6.153846153846154,
1845-11-22,S-2080,97.5,6.0,ytm,6.255395038407024,6.153846153846154,
1845-11-29,S-2080,98.0,6.0,ytm,6.203994865090863,6.122448979591836,
1845-12-06,S-2080,97.75,6.0,ytm,6.230004361678338,6.138107416879795,
1845-12-13,S-2080,96.0,6.0,ytm,6.412943197544021,6.25,
1845-12-20,S-2080,92.75,6.0,ytm,6.761810762076492,6.46900269541779,
1845-12-27,S-2080,91.0,6.0,ytm,6.9552794878562265,6.593406593406594,
1845-12-31,S-2080,92.0,6.0,ytm,6.845179898318341,6.521739130434782,
1846-01-03,S-2080,92.5,6.0,ytm,6.790624753841346,6.486486486486487,
1846-01-10,S-2080,92.0,6.0,ytm,6.846346003134797,6.521739130434782,
1846-01-17,S-2080,91.75,6.0,ytm,6.874777939013132,6.539509536784741,
1846-01-24,S-2080,91.0,6.0,ytm,6.9589792118824505,6.593406593406594,
1846-01-31,S-2080,92.75,6.0,ytm,6.76624071540827,6.46900269541779,
1846-02-07,S-2080,93.25,6.0,ytm,6.712242988081804,6.434316353887399,
1846-02-14,S-2080,93.0,6.0,ytm,6.740299923235515,6.451612903225806,
1846-02-21,S-2080,94.0,6.0,ytm,6.631888296464053,6.382978723404255,
1846-02-28,S-2080,94.25,6.0,ytm,6.605371798250137,6.36604774535809,
1846-03-07,S-2080,95.5,6.0,ytm,6.471201275935165,6.282722513089005,
1846-03-14,S-2080,95.25,6.0,ytm,6.498504833984883,6.299212598425196,
1846-03-21,S-2080,95.5,6.0,ytm,6.472127639468495,6.282722513089005,
1846-03-28,S-2080,94.75,6.0,ytm,6.553481546248461,6.33245382585752,
1846-04-04,S-2080,95.125,6.0,ytm,6.513465676052994,6.307490144546649,
1846-04-11,S-2080,90.75,6.0,ytm,6.997599164845059,6.6115702479338845,
1846-04-18,S-2080,90.0,6.0,ytm,7.0838152112202195,6.666666666666667,
1846-04-25,S-2080,93.25,6.0,ytm,6.719985653016761,6.434316353887399,
1846-05-02,S-2080,94.0,6.0,ytm,6.638146808088818,6.382978723404255,
1846-05-09,S-2080,95.0,6.0,ytm,6.529588766298897,6.315789473684211,
1846-05-16,S-2080,92.75,6.0,ytm,6.777642639286011,6.46900269541779,
1846-05-23,S-2080,92.5,6.0,ytm,6.806307753803227,6.486486486486487,
1846-05-30,S-2080,92.5,6.0,ytm,6.807115125003923,6.486486486486487,
1846-06-06,S-2080,93.5,6.0,ytm,6.696582860663723,6.417112299465241,
1846-06-13,S-2080,95.5,6.0,ytm,6.477795861427575,6.282722513089005,
1846-06-20,S-2080,93.0,6.0,ytm,6.753623431471103,6.451612903225806,
1846-06-27,S-2080,93.0,6.0,ytm,6.754383570846734,6.451612903225806,
