date,state,code,price,coupon,yield_measure_used,yield,current_yield,bucket,series_label,excluded_near_maturity,excluded_past_maturity,active_default_override,segment
1843-04-22,Pennsylvania,S-2410,49.0,6.0,current_yield,12.244897959183673,12.244897959183673,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-04-29,Pennsylvania,S-2410,47.0,6.0,current_yield,12.76595744680851,12.76595744680851,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-04-29,Pennsylvania,S-2330,43.0,5.0,current_yield,11.627906976744184,11.627906976744184,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-06,Pennsylvania,S-2410,50.0,6.0,current_yield,12.0,12.0,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-06,Pennsylvania,S-2330,48.0,5.0,current_yield,10.416666666666668,10.416666666666668,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-13,Pennsylvania,S-2410,50.0,6.0,current_yield,12.0,12.0,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-13,Pennsylvania,S-2330,47.0,5.0,current_yield,10.638297872340424,10.638297872340424,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-20,Pennsylvania,S-2330,45.75,5.0,current_yield,10.92896174863388,10.92896174863388,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-20,Pennsylvania,S-2410,48.0,6.0,current_yield,12.5,12.5,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-27,Pennsylvania,S-2330,47.5,5.0,current_yield,10.526315789473683,10.526315789473683,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-05-27,Pennsylvania,S-2410,49.0,6.0,current_yield,12.244897959183673,12.244897959183673,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-03,Pennsylvania,S-2410,52.5,6.0,current_yield,11.428571428571429,11.428571428571429,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-03,Pennsylvania,S-2330,49.25,5.0,current_yield,10.152284263959393,10.152284263959393,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-10,Pennsylvania,S-2410,48.0,6.0,current_yield,12.5,12.5,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-10,Pennsylvania,S-2330,45.0,5.0,current_yield,11.11111111111111,11.11111111111111,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-17,Pennsylvania,S-2330,46.5,5.0,current_yield,10.75268817204301,10.75268817204301,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-17,Pennsylvania,S-2410,50.0,6.0,current_yield,12.0,12.0,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-24,Pennsylvania,S-2330,45.75,5.0,current_yield,10.92896174863388,10.92896174863388,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-06-24,Pennsylvania,S-2410,50.0,6.0,current_yield,12.0,12.0,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-01,Pennsylvania,S-2330,48.5,5.0,current_yield,10.309278350515465,10.309278350515465,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-01,Pennsylvania,S-2410,50.5,6.0,current_yield,11.88118811881188,11.88118811881188,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-08,Pennsylvania,S-2330,48.25,5.0,current_yield,10.362694300518134,10.362694300518134,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-08,Pennsylvania,S-2410,53.0,6.0,current_yield,11.320754716981131,11.320754716981131,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-15,Pennsylvania,S-2410,51.0,6.0,current_yield,11.76470588235294,11.76470588235294,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-15,Pennsylvania,S-2330,48.75,5.0,current_yield,10.256410256410255,10.256410256410255,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-22,Pennsylvania,S-2410,53.0,6.0,current_yield,11.320754716981131,11.320754716981131,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-22,Pennsylvania,S-2330,48.75,5.0,current_yield,10.256410256410255,10.256410256410255,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-29,Pennsylvania,S-2330,49.5,5.0,current_yield,10.1010101010101,10.1010101010101,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-07-29,Pennsylvania,S-2410,54.0,6.0,current_yield,11.11111111111111,11.11111111111111,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-05,Pennsylvania,S-2410,54.0,6.0,current_yield,11.11111111111111,11.11111111111111,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-05,Pennsylvania,S-2330,48.5,5.0,current_yield,10.309278350515465,10.309278350515465,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-12,Pennsylvania,S-2410,54.5,6.0,current_yield,11.009174311926609,11.009174311926609,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-12,Pennsylvania,S-2330,50.25,5.0,current_yield,9.950248756218906,9.950248756218906,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-19,Pennsylvania,S-2330,53.0,5.0,current_yield,9.433962264150944,9.433962264150944,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-19,Pennsylvania,S-2410,57.0,6.0,current_yield,10.526315789473683,10.526315789473683,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-26,Pennsylvania,S-2330,53.0,5.0,current_yield,9.433962264150944,9.433962264150944,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-08-26,Pennsylvania,S-2410,56.0,6.0,current_yield,10.714285714285714,10.714285714285714,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-01,Pennsylvania,S-2330,53.0,5.0,current_yield,9.433962264150944,9.433962264150944,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-01,Pennsylvania,S-2410,58.0,6.0,current_yield,10.344827586206897,10.344827586206897,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
1843-09-09,Pennsylvania,S-2410,63.0,6.0,current_yield,9.523809523809524,9.523809523809524,defaulted,secondary_pa_bridge,False,False,True,"S-2330/S-2410 (fixed-maturity, primary series)"
